Text;Sentimen
Tidak mau kalah  Stlh sirkuit Mandalika lombok tengah jadi  di coba serta sukses unt WSB tingkat dunia tdk mau kal…;positif
Dapatkan informasi dan ikuti aktivitas menarik mulai dari area bandara hingga Sirkuit Pertamina Mandalika Segera downloa…;positif
Pertamina Mandalika International Street Circuit;positif
Juago dong next ke sirkuit mandalika aku;positif
Apalagi kalo lupa masih di gigi 4 Kan loading dulu yak Org org mah dikira sirkuit mandalika kali ah;negatif
Kenapa sirkuit formula e blm ada krn akan melihat sirkuit mandalika yg ternyata tergenang saat hujan jadinya sirkuit formula e wajib ada sumur resapan;negatif
Sirkuit Mandalika bayar berapa untuk menyelenggarakan WSBK  Motogp   jgn bilang gratis Harus di usut juga tuh;negatif
Euforia;negatif
Gk sesuai bacot lu Kadrun dongo lu bilang gk bisa kerja presiden gua jd jd presiden dunia  sakit mah bilang drun kurang cukup drun Mandalika di lirik luar negri sakit lah  soalnya sirkuit formula ghaib  finish nya di KPK LG;negatif
buat aturan sementara DKI wilayahnya ditambah mandalika jadi bisa pakai sirkuit mandalika;negatif
Kasian amat lu drun presiden gua udh jd president dunia Mandalika sukses drun sampe di lirik Ama raja arap ngadain F1 drun aduhh formula e finish nya di KPK tolol anggaran triliunan sirkuit gk ada pohon di relokasi nama nya gila mana ada pohon di karantina;negatif
Mau dipoles dengan kosmetik semahal dan setebal aspal sirkuit Mandalika pun tidak akan pernah merubah kenyataan dan meru…;negatif
Mantul nih sensasinyarotasi layar hp full screen mode;negatif
KITA BISA MANJAT DINDING KEK DI SIRKUIT MANDALIKA;negatif
Saya tanya dan  Apakah kemegahan Sirkuit Mandalika sebanding dengan kondisi jalan desa yg berlubang dan…;negatif
Saya sebagai rakyat Indonesia udah bangga kok dengan sirkuit Internasional Mandalika dan udah gak sabar menunggu ajang balapan moto GP 2022 di Mandalika Gak berharap banyak dengan Formula E;positif
Video yang menyebut selebrasi pembalap menceburkan diri ke danau di Sirkuit Mandalika adalah hoaks atau tidak benar;positif
Apalagi Sumur Resapan Ini Melebihi Sirkuit Mandalika dan Formula E  Emang Oposisi pada setuju;negatif
Anggaran Melebihi Anggaran Sirkuit Formula E 23T danSirkuit Mandalika yang hampir 20 Triliun;negatif
Pk Jokowi gk perku ikut cawe2 FE jg sdh terkenalngeresmiin sirkuit Mandalika aja sdh  mendunia baru 1 event tuh supe…;negatif
Tak heran di hari pertama pelaksanaan;positif
Desa di Lombok Tengah Nusa Tenggara Barat Mandalika ini tengah jadi promadona Rangkaian event balap internasional sukses digelar di sirkuit baru Mandalika;positif
Monitori terus Pak dan;positif
Event balap mandalika dah usai sukses Formula e sirkuit saja nga jelas dimana yg pasti ada di kpk sihhh Sama2in;negatif
Dah menduga kalo sirkuit mandalika bakal banyak bgt masalahnya Ketauan bgt mo dapet duit doang cuma konsultasi sama org pariwisata dan ekonomi kaga ngelibatin org2 di bidang antropologi kliminologi dan ekologi Sukur;negatif
Ide tebang pohon di Monas mau kau samakan dengan Megaproyek Sirkuit Mandalika Ngaco;negatif
Pk Jokowi gk perku ikut cawe2 FE jg sdh terkenalngeresmiin sirkuit Mandalika aja sdh  mendunia baru 1 event tuh super bikeapa lg klo sdh digelar  moto Gp  trus nyusul F1kadrun auto kejang2 FE msh kalah ama moto Gp dri segi penggemartim pabrikan bsr d FE udh pd cabut;negatif
Tidak mau kalah  Stlh sirkuit Mandalika lombok tengah jadi  di coba serta sukses unt WSB tingkat dunia tdk mau kalah si ontadungu ga bener  merancang desain sirkuit di tngh kota yg dihuni 58 wrg nya yg jg dungu  ini grand design lintasanya yuks kita liat bersama;negatif
Kapolda NTB Minta 17 Catatan Segera Diperbaiki di Sirkuit Mandalika;positif
120 Rumah Warga Terdampak Sirkuit Mandalika Rampung 2022;negatif
Waw Jadwal MotoGP Terbaru GP Indonesia dan Tes Pramusim di Sirkuit Mandalika Kejutan dari Rider Debutan;positif
Karya terbaik rezim yang membangun sirkuit Mandalika dan mampu memaksa bule untuk nguras air Hebat ga kangded…;negatif
Pertamina Mandalika International Street Circuit adalah salah satu kebanggaan Indonesia Bila Pembalap World Superbike WSBK…;positif
Bagi penyelengara event Formula E moga kejadian aneh2 yg byk terjadi di Sirkuit Mandalika dpt jadi pelajaran Tujuannya s…;negatif
Luhut  “ WSBK Mandalika ditonton 16 Miliar penduduk dunia Selain ditonton 16 Miliar penduduk dunia pihak panitia…;positif
Kembali Hujan Deras Balapan Kedua WSBK Mandalika Ditunda;negatif
“Terima kasih Pak Presiden dan Pak Erick Thohir untuk sirkuit yg keren Terima kasih;positif
KSP Sebut Sirkuit Mandalika Perlu Berbenah untuk Gelaran MotoGP 2022;negatif
Melihat balapan WSBK aman di kondisi hujan berarti Sirkuit Pertamina Mandalika sangat layak utk menggelar seri balap dun…;positif
Sirkuit Mandalika itu salah satu proyek pemerintah yg jenius bisa menggabungkan antara sirkuit balap  kanal banjir baru ad…;negatif
Sirkuit Mandalika yang dibanggakan dan jadi tempat pencitraan banyak pejabat sekarang menjadi danau Mandalika;negatif
Cebi auto mingkem setelah tau sirkuit Mandalika kebanjiran Proyek kejar tayang itu akhirnya hanya bikin malu Belum lag…;negatif
Kalo drainase sirkuit Mandalika kurang bagus harusnya jangan malu ikutin jejak Anies bikin sumur resapan sejumlah 625 titik…;negatif
Duka dibalik megahnya sirkuit mandalika;negatif
Berikut Kearifan Lokal Di Sirkuit Mandalika yang tertangkap Kamera;positif
Ini motor ijo yang ngetes sirkuit mandalika;negatif
Tentu saja merupakan energi positif Pak Jkw bisa dilihat dr kerelaan bule ntuk ngepel sirkuit Mandalika;negatif
Putra Nababan  Sirkuit Mandalika Tidak Tidak ada Banjir Kalau lagi Musim Kemarau keleeeeees;negatif
Dijamin anti banjir;negatif
Ini pawang hujan sirkuit Mandalika ya;negatif
Menteri Koordinator Kemaritiman dan Investasi Luhut Binsar Pandjaitan menilai ekonomi Nusa Tenggara Barat akan tumbuh 5 persen sebagai dampak  kegiatan di Sirkuit Mandalika;positif
Bahwa mayoritas pembalap mengatakan kekaguman nya terhadap Sirkuit Mandalika;positif
Pembalap Ducati yg di goreng kardus marah2 justru jadi pembalap pertama yg menyatakan kekaguman nya kepada Sirkuit Mandalika;positif
Berita yang aku tunggutunggu xixixi;positif
Ada yg menutup mata dgn sukses nya WSBK  sirkuit Mandalikatp ini sama2 satu partai bisa beda ya pandangan nyamaksud…;negatif
Pendapat pribadi tentang pelaksanaan WSBK Sirkuit Mandalika Lombok Hujan deras dan menyebabkan banjir Banyak gen…;negatif
Aksi Bule Kebanjiran di Sirkuit Mandalika Ngepel Mainan Bebek hingga Hujanhujan;positif
Scott Redding Sangat Menikmati Balapan di Sirkuit Mandalika Tapi…;negatif
Baru ada di Mandalika konstruksi sirkuit balapan bisa kebanjiran baru juga diresmikan secara hukum akuntasi perlu diaudit sscara rancang bangun maupun penyerapan dan penguapan anggaran apa akuntable atawa kumaha;negatif
Benarkah Mandalika itu Stadion;negatif
Stadion untuk sepakbola kejuaraan atletik;negatif
MATA LU PANUAN GA ADA GENANGAN;negatif
Luhut menyatakan Sirkuit Mandalika sudah memenuhi standar untuk menyelenggarakan Formula 1 F1;positif
Pertamina Mandalika International Street Circuit adalah salah satu kebanggaan Indonesia Bila Pembalap World Superbike WSBK mengagumi Sirkuit Mandalika artinya itu merupakan penghargaan yg luar biasa bagi Indonesia Terima kasih pak Jokowi dan pak Erick Thohir;positif
Perhelatan Balap motor World Superbike Championship WSBK 2021 baru saja selesai sukses digelar di Sirkuit Mandalika meny…;positif
Proyek KA JakartaBandung bengkak costnya sampai2 di bantu Rp43 T dari APBN Bandara Kertajati senilai Rp 49 T sepi inc…;positif
Sirkuit Mandalika dapat pujian dari pebalap dan tim WSBK Nama Presiden Jokowi sampai dibawabawa;positif
Ada Luhut dan Bang Ical Sirkuit Mandalika lewat Lampung;positif
Cerita Seru Pasutri Asal Gresik Nonton WSBK di Sirkuit Mandalika;positif
Satu lagi kejadian lucu di sirkuit Mandalikaada yg kebelet pipis Mandalika memang luar biasa tak ada duanya;negatif
Surcuit Mandalika itu kebanggaan bersama Yang menjadikan bahan olok2an sel dunia itu karena ada narasi BuzzeRp kudisan;negatif
Sirkuit Mandalika Banjir Nicho Silalahi Karya Terbaik Presiden Jokowi Mampu Paksa Bule untuk Nguras Air;negatif
Gimana kabar mandalika bang selain sirkuit disana jg ada wahana waterfallnya air jatuh ya;negatif
Sirkuit Mandalika tergenang ditonton penduduk dunia juga;negatif
Sirkuit Mandalika kebanggaan kita semua;positif
Tahun 2019 sy berakhir tahun di Mandalika Sy lihat tebing2 dipapas utk pembangunan sirkuit pastinya pohon2 ditebangi Arti…;negatif
Mandalika jd Stadiun   mati saja lu drun membedakan Sirkuit GP 1 dgn Stadiun Sepakbola lu saja gak ngerti Jd org jgn seanjing gitu;negatif
PUPR jamin Sirkuit Mandalika anti banjir Sejak kapan pejabat Ind yg ngaku Saya Pancasila  NKRI harga mati berlaku sombong sprt Iblis Kapal mewah Titanic juga akhirnya karam krn kesombongan para perancangnya Sombong itu anti kritik menyesatkan  mengundang laknat Tuhan;negatif
Hal itu agar WSBK Mandalika berjalan dengan lancar tanpa terganggu oleh sapi;positif
Mereka tak bisa keluar maupun masuk dari daerah mereka;negatif
Tanah mereka belum dibeli alhasil mereka bertahan di dalam venue bersamaan WSBK Mandalika berlangsung;negatif
Namun mereka tak bisa melawan suara tersebut Warga Dusun Bunut memaklumi hajatan World Superbike WSBK 2021 di Sirkuit Mandalika pada 1921 November 2021;negatif
Hajatan level internasional itu adalah langkah kebangkitan warga Lombok di tengah pandemi yang semenamena menghajar manusia di Planet Bumi;positif
Jules Cluzel Juarai WorldSSP 2021 di Sirkuit Mandalika Lombok lewat Lampung;positif
Meski saluran pengendali banjir sudah dibangun namun area Sirkuit Mandalika tetap tergenang karena hujan;negatif
Dukung pasukan orange mengatasi banjir sirkuit mandalika kebanggaan kita;negatif
konsep mandalika mengikuti sirkuit nurburgring kah;positif
Karena narasi para cebong bani bipang yg over dosis dan gak masuk akal jadi tdk produktive gini;negatif
Luhut mengatakan panitia sangat puas dengan kualitas Sirkuit Mandalika;positif
banjir di jalan underpass menuju area sirkuit mandalika;negatif
Waduhklo banyak yg liat Berarti banyak yg tau klo sirkuit Mandalika jelek drainasenya Bagaimana kita gk tambah malu pak;negatif
Pendapat pribadi tentang pelaksanaan WSBK Sirkuit Mandalika Lombok Hujan deras dan menyebabkan banjir Banyak genangan…;negatif
Tidak sia² kecap bango merawat Mandalika seperti anak sendiri Sekarang dia sudah jadi sirkuit;positif
[POPULER OTOMOTIF] Veloz dan Xpander Jadi Perhatian Penungjung GIIAS 2021 | Kondisi Sirkuit Mandalika Usai Hujan Deras;negatif
Untung saja KPK sahabat BuzzerRp;negatif
Untuk anggota DPR BPK dan LSM masih bisa ulik itu Laporan;negatif
Sirkuit Mandalika jadi kolam cebong ini mah salah anies baswedankate jokowi;negatif
Hehehehe kok gak ada liputannya;negatif
Mana berani ngangkat beritanya yg tengah terjadi apalagi pembatalan jadwal kejuaraan di sirkuit;negatif
Mana punya nyali naikin berita ini;negatif
Bisa jadi banjirnya Mandalika adalah jawaban dr doa orangorang yg kemarin demo karena hak atas tanahnya belum diselesaika…;negatif
Ada yg menutup mata dgn sukses nya WSBK  sirkuit Mandalikatp ini sama2 satu partai bisa beda ya pandangan nyamaksudnya apa ya;negatif
Dikerjakan dalam 2 tahun;positif
Total anggaran Rp 859 milyar;negatif
Jaminannya bebas banjir;positif
TNI AU Sudah Tabur 3 Ton Garam di Udara Hujan Lebat Tetap Turun di Sirkuit Mandalika;negatif
Woi buzzer 10m di Mandalika itu sirkuit balapan bukan Stadion namanya juga sirkuit ya di alam terbuka bisa terganggu hujan dan cuaca buruk Di sirkuit2 lain juga pernah alami halangan seperti itu Ini orang ketahuan gak pernah nonton balapan Sirkuit formula E eek di mana;negatif
Sirkuit Mandalika Keren;positif
Waaw hebat BINGITZ SIRKUIT yg ada warung kopinya cuma ada di negri+62 satu2xnya di dunia jadi kalo pembalap nya suntuk dan cape bisa ngopi sebentar di warung ini Ngemeng2x bisa buka warung angkringan ngga ya di sirkuit Mandalika;negatif
Jaman juragan anda barang ini jadi apa;negatif
Seluruh pembalap kagum dengan indahnya sirkuit Pembalap Ducati asal Italia Michael Ruben Rinaldi bahkan menyampaikan langsung apresiasinya kepada Presiden RI Jokowi;positif
Pembalap World Superbike 2021 kagumi keindahan sirkuit Mandalika;positif
Kolumnis The Race Simon Patterson menulis bahwa ke depannya MotoGP mungkin akan jadi tujuan menarik bagi Toprak Razgatlio…;positif
Seru bagus seneng pokoknya Hebat Lombok bisa mengadakan turnamen dunia seperti ini Kata Adi Nia Mentari salah satu wa…;positif
MENTERI Koordinator Bidang Maritim dan Investasi Luhut Binsar Pandjaitan mengatakan dengan adanya Sirkuit Mandalika ini…;positif
Benar pakbahkan bisa lebihmrk nonton lewat youtubeapalagi pas yg mandi hujan2 viralmrk kyk dpt hiburan tambahan semoga imun tubuh meningkat terhindar dr Covid19 tambah lagi manfaat sirkuit mandalika sbg imunitas alamihabis itu bpk bisa istirahat dr kerja amal PCR;negatif
Dusun Bunut Masih Bertahan di Tengah Sirkuit Mandalika;negatif
Pembalap WSBK Masuk RS Usai Kecelakaan di Sirkuit Mandalika;negatif
World Superbike 2021 di Sirkuit Mandalika di LombokNusa Tenggara Barat NTB telah dimulaibalapan Superbike ini menjad…;positif
Sirkuit Mandalika yang dibanggakan  menjadi danau Mandalika;negatif
Khawatir berpotensi longsor jadi dilarang Harusnya dikasih tempat khusus didalam sirkuit untuk masyarakat sekitar ikut bersuka cita saat nonton Mandalika ini jd kebanggaan bgt  untuk saat ini jgn cuma melarang tp ga ngasih alternatif;negatif
Dalam penyelenggaraan WSBK di sirkuit Mandalika saat ini beberapa pembalap Superbike mengucapkan terima kasih kepada Pak…;positif
utk sirkuit yg keren;positif
MANTAB;positif
Temen Istrinya ketua di Mandalika sirkuit banyak yg mati diduga krn diracun;negatif
Mungkin harapan dan doa2 kalian agar apa yang akan digelar di Sirkuit Mandalika semuanya gagal terlaksana Sungguh kalian berhati busuk Tak ada urusan bagiku klo kalian adalah penjilat Anies tp sungguh tak sebanding dg Jokowi dasar tuyul ancol;negatif
Dari laporan yang kita terima WSBK di Sirkuit Mandalika ditonton 16 miliar penduduk di dunia ujar Luhut;positif
Di Sirkuit Mandalika Toprak Razgatlioglu sukses menjadi juara dunia WSBK 2021 Hari ini pun menjadi luar biasa buat rider Tu…;positif
Dari laporan yang kami terima WSBK di Sirkuit Mandalika ditonton 16 miliar penduduk di dunia ujar Luhut;positif
Rangkaian gelaran World Super Bike Mandalika sdh dimulai Seluruh pembalap kagum dengan indahnya sirkuit Pembalap Ducati as…;positif
Jiakh gaji atau sirkuit Mandalika tuh balapan;negatif
Pemerintah indonesia dalam hal ini bapak presiden selain bermimpi ingin menjadi tuan rumah piala dunia juga bermimpi ingin menjadi tuan rumah motogp dan f1 Maka dibangunlah oleh Bapak Presiden yakni stadion bung karno dan sirkuit mandalika;positif
Tululmu hakiki akut  MANDALIKA Bkn STADION tp SIRKUIT kurangi tulul bisa ga sih dikit aja dech minimal jangan di habisin tululnya;negatif
Selama WSBK Pedagang Lapak Sirkuit Mandalika Untung Berlimpah;positif
Sekarang bilang sirkuit Mandalika anti banjir ditabok lagi dah;negatif
Masih ada sekitar 48 KK yg tinggal di tengah Sirkuit Mandalika Saat ada WSBK mereka diberi gelang khusus sebagai penanda d…;positif
Bikin Becek Sirkuit Mandalika;negatif
Permukaannya Becek Sekali Ini;negatif
Sudah Seperti Sapi Yang Menggarap Ladang;negatif
[POPULER MONEY] Jokowi Pernah Bentak Dirut Pertamina | Bahagianya Luhut Sirkuit Mandalika Jadi Buah Bibir;positif
Yuk Sedia Payung Sebelum Hujan Turun;negatif
Hujan Deras Guyur Sirkuit Mandalika ITDC Genangan Air Surut dalam Waktu Singkat;positif
Menko Marves Luhut Sirkuit Mandalika Inspirasi untuk Anak Muda Indonesia;positif
Pintu Masuk Sirkuit Mandalika Becek;negatif
Yaollo ttp bahas ujan banjir Dorna TTD bbrp thn kedpn kontrak Mandalika krn spek kualitas track sesuai std intl  ada team khusus cek dlm proses pembangunan sirkuitbuka asal buat ngadi² cari alasan Dah ah mau ngegas biar pd cemong;negatif
Bikin Bangga Penonton di Sirkuit Mandalika Kompak Nyanyi Indonesia Raya;positif
Doa orang yang terdzolimi terbukti efektif;negatif
Menko Marves Luhut Binsar Pandjaitan membahas kemungkinan Sirkuit Mandalika menggelar balapan Formula 1;positif
Diguyur Hujan Sirkuit Mandalika Tergenang Siapa Bertanggung Jawab Minta saja pertanggungjawabannya kepada yg pernah meny…;negatif
Gak ngebayang gimana kalau sirkuit ini Anies yg bangun para penjahat itu pasti keluar semua menghantam Anies dari berb…;negatif
mandalika jadi konsep kawasan  khusus sejak jaman sby  di sana timbul ide membuat sirkuit  kalau sby oeriodenya nambah pastilah jaman sby  hanya waktu  jaman pak harto di sentul ada moto2 formula 1 juga;negatif
Sirkuit mandalika bikin kenyang siapa;negatif
Emang mangkrak suruh malu Sirkuit mandalika sukses dibangun n sukses penyelenggaraan wsbk kok Mestinya kadrun ikut bangga dong;negatif
Awas hoax bang Ini bukan mandalika ini sirkuit sochi Rusia;negatif
Sirkuit Internasional Tapi Kebanjiran mungkin ini doa juga dari masyarakat yang tanahnya diambil untuk sirku…;negatif
Diguyur Hujan Sirkuit Mandalika Tergenang Siapa Bertanggung Jawab Minta saja pertanggungjawabannya kepada yg pernah menyatakan sirkuit Mandalika dijamin anti banjir Pernyataannya sangat jelas;negatif
Untuk mengobati rasa kecewa ebong nih ada balapan yg lbh seru drpd sirkuit mandalika bnr g;negatif
Mandalika yang diresmikan SBY itu maksudnya adalah terminal dan sekitar;positif
Luhut Sirkuit Mandalika Penuhi Standar Ajang Balap F1;positif
Balapan di musim hujan Pembangunan Sirkuit Mandalika baru akan selesai secara keseluruhan pada Desember 2021 Katanya…;negatif
Bangga sebagai bangsa Indonesia mempunyai sirkuit kelas dunia seperti sirkuit Mandalika Klu ente mati sebelum 2024 Ente pasti mati penasaran karena membawa dendam dan penyakit hati;negatif
Siapa nih kak yg ketemu kita kita di bus menuju sirkuit mandalika;positif
Seru bagus seneng pokoknya Hebat Lombok bisa mengadakan turnamen dunia seperti ini Kata Adi Nia Mentari salah satu warga;positif
Kolumnis The Race Simon Patterson menulis bahwa ke depannya MotoGP mungkin akan jadi tujuan menarik bagi Toprak Razgatlioglu;positif
Udah hancur image nya oleh ulah buzzer²nya sendiri;negatif
Alhamdulillah Indonesia hebat BANJIR di sirkuit Mandalika ditonton 16 M Orang di Duniabravo;negatif
Memangnya di sirkuit Mandalika banjir seleher ya Wah hilang dong sirkuitnya;negatif
Bang kopit lagi cuti karena nonton di sirkuit mandalika;negatif
Pak Ganjar disambut hangat dan meriah saat di sirkuit Mandalika terutama di tribun penonton Kadrun nyinyir katanya tim s…;negatif
Udah jelas2 Mandalika banjir kok ya masih ngeles aja kalian malah membandingkan dengan rencana sirkuit lain Mbok ya kalo tengsin ya diem aja ntar takutnya ada hajatan lain tahun depan dan sukses malah bunuh diri krn makin tengsin;negatif
Jelang balap di mulai dikumandangkan lagu Indonesia Raya;positif
Ada gubernur ambisi nyapres yg  manfaatkan acara mandalika unt pencitraan dg bawa juru sorak settingandan tragisnya gak pe…;negatif
Penampakan sirkit balapannya seperti mereka sedang latihan balapan saja yg nonton sepiii Mungkin juga mereka pembalap it…;negatif
Menurut Luhut terpenting saat ini keberadaan Sirkuit Mandalika harus dijaga;positif
Kenapa sirkuit baru sekarang pada mepet² ya pekerjaannya 2 pekan sebelum event wsbk kemarin aja mandalika baru dicat dan baru bangun paddock/pit building;negatif
Sejumlah Pemilik Lahan Protes Minta Bayar Ganti Rugi Pembuatan Sirkuit Mandalika;negatif
Sirkuit mandalika ada wujudnya dan ada balapannya Drpd lu nyinyirin mandalika mending lu ungkit tuh formula ghoib kebanggaan gotbener yg udh ngabisin duit 23T tp gak ada wujud sirkuitnya dan gak ada balapannya Apa cm dedemit yg bs ngeliat sirkuit dan balapannya;negatif
Sedangkan tenaga kerja Indonesia yang hebathebat malah dihina2 oleh Luhut;negatif
Luhut Panjaitan Anak Muda Harus Bangga Indonesia Punya Sirkuit Mandalika;positif
Pujian pembalap Ducati untuk Sirkuit Mandalika Terima kasih Pak Jokowi Semoga menjadi legacy yang harum dan menjadi kebangga…;positif
Berikut Cuplikan Salah Satu Pembalap Mandi Di Tengah Hujan di Sirkuit Mandalika;positif
Toprak Berjaya Sirkuit Mandalika Jadi Saksi Bintang Masa Depan MotoGP;positif
Dlm intensitas hujan deras/lebat pasti sirkuit ada yg banjir  tdk segera lang…;negatif
Selalu Ingin Terlihat Beda Itu Baik Tapi Bedalah Karena Prestasi Bukan Sensasi;negatif
Pembalap Superbike dari tim Ducati  Terima Kasih Pak dan Pak Sirkui…;positif
SIRKUIT MANDALIKA UNTUK AJANG DUNIA via YouTube;positif
Tidak heran Mandalika yang ditetapkan sebagai KEK oleh pemerintah Jokowi melalui Peraturan Pemerintah Nomor 52 Tahun 2014…;positif
Kok bisa terjadi begini ya di sirkuit Mandalika;negatif
Jadi banjir di sirkuit Mandalika itu kesalahannya sudah puluhan tahun;negatif
Selamat untuk Toprak yang merebut juara Dunia superbike 2021 di Mandalika Lombok NTB;positif
From THIS to THIS Sirkuit Mandalika udah ada yg ngetwit pa belom;positif
Pembangunan sirkuit Mandalika ditangani oleh Pemprov NTB atau pusat  Perencananya langsung kementrian atau swasta  Masak faktor curah hujan dan drainase tidak diperhitungkan  Tidak layak nanti penjelasannya mengatakan ini hujan terlebat dalam beberapa puluh tahun terakhir;negatif
Dikeluhkan Penonton dan Pembalap;negatif
Panitia Harus Belajar ke Sepang dan Motegi;negatif
Di Sirkuit Mandalika Toprak Razgatlioglu sukses menjadi juara dunia WSBK 2021 Hari ini pun menjadi luar biasa buat rider Turki itu;positif
Selain Jakarta  Sintang diduga yang terjadi di sirkuit mandalika itu hanya genangan air bukan banjir Ya gak bong…;negatif
Kami tunggu aksi spektakulermu di sirkuit mandalika Insyaa allah sy agendakan untuk nonton langsung disana Lekas sembuh brother marcmarquez93;positif
Kebiasaan buruk udah kejadian baru ada perbaikan dan pembenahan;negatif
Bagaimana dg kondisi banjir di sirkuit Mandalika pak menteri ini faktor alam atau faktor konstruksi Kalau salah menjelaskan ini bisa fatal tadinya dikagumi dunia bisa jadi dierca dunia;negatif
Bandingkan dengan biaya pembangunan Sirkuit Mandalika Rp 12 T dan Stadion Papua Bangkit yang cuma Rp 13 T selesai dan sudah…;negatif
Aku tanya apakah yang membekas dihati masyarakat termasuk elu usai gelaran balap sirkuit Mandalika;negatif
Tentang banjirnya sirkuit Mandalika yang jadi bercandaan pembalap internasional udah masuk berita Area Julid Berita Viral…;negatif
Ya ampun bisanya aq mikir lg ngantri tiket buat masuk ke sirkuit Mandalika;positif
Mau bercocok tanam Monggo;negatif
mandalika koq stadion  sirkuit yaaaaa;negatif
Kondisi cuaca tak menghalangi masyarakat untuk datang ke Sirkuit Mandalika dan menyaksikan balapan Mereka tetap antusias dan berharap bisa datang kembali ke Mandalika saat pergelaran MotoGP pada Maret 2022;positif
Harusnya bang Fahri ikut bantu alihkan hujan biar g turun d Sirkuit Mandalika;negatif
tolong di jelaskan mandalika ini stadion atau sirkuit;negatif
Dia bilang di stadion waktu sholat tdk terganggu krn ada atapnya ujung2nya kok ke masalah agama lagi ya;negatif
Bule ini takjub melihat keindahan sirkuit Mandalika;positif
jOn Emak gak mampu beliin kamu tiket nonton balap di Sirkuit Mandalika;negatif
Jonathan Rea finish pertama di Sirkuit Mandalika;positif
Ini pemenangnya balapan Superbike  di sirkuit Mandalika yg diselenggarakan minggu lalu;positif
Mandalika  Formula E sama2 promosikan Indonesia di duniaSemoga penyelenggaraan semakin membaik kendala air tergenang di Mandalika semoga bisa segera diatasi Formula E agar bersiap lebih baik karena city race sirkuit dibangun 1 bulan sebelum event belajarlah dr Mandalika;positif
Kita sepakat bukan GP nya yg jadi tujuan utama tapi pada event itu pandangan dunia tertuju pada Sirkuit Mandalika tent…;positif
Tambahan  Markom ga perlu mengimagekan Sirkuit Mandalika sbg hal yg futuristik jadi malu sendiri kita Justru hal2 yg…;negatif
Tentu kita semua sebagai warga negara tempat berlangsungnya balap motor di Sirkuit Mandalika merasa tercoreng dengan keja…;negatif
Tidak kayak sirkuit mandalika katanya bebas banjir tapi banjir juga DKI ma semua sudah terukur dan disiapakan…;negatif
ya karena potensi tanah liatnya itu Artinya jika dikaitkan dengan banjir yang terjadi di Sirkuit Mandalika tentu pe…;negatif
Iyaaaa diya kan suka mindah2in lokasi underpass di sirkuit mandalika NTB bisa aja diya pindahin…;negatif
